checkpoint,architecture,layer,head,learned_bias,fixed_config_bias,total_zero_input_logit,gamma_zero_input,one_minus_gamma,half_life_tokens,efold_tokens,weight_l2,weight_rms,input_dim,parameter
repl_seed1_nope,nope,2,6,1.7872331142425537,3.9,5.687233114242554,0.9966224893723586,0.003377510627641372,204.87750915414438,295.5757664463673,2.892056465148926,0.09037676453590393,1024,blocks.2.attn.mem.w_gamma
repl_seed1_nope,nope,2,7,-1.5225865840911865,3.9,2.3774134159088134,0.9150886687379051,0.08491133126209495,7.811489824478672,11.26959763172998,1.2679497003555298,0.039623428136110306,1024,blocks.2.attn.mem.w_gamma
repl_seed1_nope,nope,6,0,-1.6981351375579834,3.9,2.2018648624420165,0.9004168511881995,0.09958314881180048,6.607855083042101,9.533119759217769,2.3508763313293457,0.07346488535404205,1024,blocks.6.attn.mem.w_gamma
repl_seed1_nope,nope,6,1,0.06524262577295303,3.9,3.965242625772953,0.9813894842698982,0.018610515730101716,36.89726189454372,53.23149675763954,3.2457387447357178,0.10142933577299118,1024,blocks.6.attn.mem.w_gamma
repl_seed1_nope,nope,6,2,-0.374284952878952,3.9,3.525715047121048,0.9714106506822308,0.028589349317769276,23.896695239062804,34.47564371503081,2.7686080932617188,0.08651901036500931,1024,blocks.6.attn.mem.w_gamma
repl_seed1_nope,nope,6,3,0.7728428244590759,3.9,4.672842824459076,0.9907408690774537,0.009259130922546285,74.51382219103792,107.5007217526924,4.009377956390381,0.1252930611371994,1024,blocks.6.attn.mem.w_gamma
repl_seed1_nope,nope,6,4,-0.9230675101280212,3.9,2.9769324898719787,0.9515210667690592,0.048478933230940734,13.94846109516203,20.1233756500229,2.572628974914551,0.08039465546607971,1024,blocks.6.attn.mem.w_gamma
repl_seed1_nope,nope,6,5,-1.10137140750885,3.9,2.79862859249115,0.942601670818774,0.05739832918122599,11.726098562682377,16.91718424535707,2.2460813522338867,0.07019004225730896,1024,blocks.6.attn.mem.w_gamma
repl_seed1_nope,nope,6,6,0.8604382872581482,3.9,4.7604382872581485,0.9915108270538867,0.008489172946113312,81.30366542553406,117.29639491551347,4.5189127922058105,0.14121600985527039,1024,blocks.6.attn.mem.w_gamma
repl_seed1_nope,nope,6,7,-0.24071162939071655,3.9,3.6592883706092834,0.9748956272115205,0.02510437278847957,27.262573173669118,39.331579119524925,3.148514747619629,0.0983910858631134,1024,blocks.6.attn.mem.w_gamma
repl_seed2_polar,polar,10,0,1.352279782295227,3.9,5.252279782295227,0.994791699589238,0.005208300410762089,132.7382246966732,191.50077850629535,3.965315103530884,0.12391609698534012,1024,blocks.10.attn.mem.w_gamma
repl_seed2_polar,polar,10,1,1.227586269378662,3.9,5.1275862693786625,0.994104108990554,0.005895891009446008,117.21753429490467,169.10915543249098,4.2778000831604,0.1336812525987625,1024,blocks.10.attn.mem.w_gamma
