checkpoint,architecture,layer,head,learned_bias,fixed_config_bias,total_zero_input_logit,gamma_zero_input,one_minus_gamma,half_life_tokens,efold_tokens,weight_l2,weight_rms,input_dim,parameter
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,2,0.6583259105682373,3.9,4.558325910568238,0.989629094779971,0.01037090522002901,66.48856960756459,95.92272964863407,3.5953307151794434,0.11235407739877701,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,3,-0.19788755476474762,3.9,3.7021124452352523,0.9759226659446122,0.024077334055387756,28.4403877801433,41.03080641137181,2.8562324047088623,0.08925726264715195,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,4,-1.9633883237838745,3.9,1.9366116762161254,0.8739794282269667,0.1260205717730333,5.145918355791078,7.423990892719277,2.5570876598358154,0.07990898936986923,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,5,0.08546701073646545,3.9,3.9854670107364654,0.9817552918619735,0.01824470813802649,37.64404651587146,54.308879227441224,3.478198766708374,0.1086936965584755,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,6,-0.5136057734489441,3.9,3.386394226551056,0.9672766047801379,0.03272339521986209,20.833511464638974,30.056403674338014,2.698814630508423,0.08433796465396881,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,7,-1.0362374782562256,3.9,2.8637625217437743,0.9460257405114108,0.05397425948858924,12.492402066207116,18.022726509708047,3.882131576538086,0.12131661176681519,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,0,-0.5338722467422485,3.9,3.3661277532577514,0.9666290081152534,0.03337099188474658,20.422415267583855,29.46331722951828,2.8701562881469727,0.0896923840045929,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,1,0.5414304733276367,3.9,4.441430473327637,0.9883580545621837,0.011641945437816235,59.19152590947679,85.39532089225276,4.01456880569458,0.12545527517795563,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,2,-0.5407862067222595,3.9,3.3592137932777404,0.9664052609845829,0.033594739015417076,20.284063560083645,29.263717907209205,2.2320287227630615,0.06975089758634567,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,3,0.06084492802619934,3.9,3.9608449280261993,0.9813089937259208,0.018691006274079165,36.73686643881785,53.00009502908271,3.34118390083313,0.10441198945045471,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,4,-0.31256723403930664,3.9,3.5874327659606933,0.9730757029014728,0.026924297098527193,25.396149855086446,36.638899453606186,4.364336967468262,0.13638553023338318,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,5,-0.465390145778656,3.9,3.434609854221344,0.9687688442472493,0.031231155752750758,21.8456868565834,31.516664092806078,2.8882298469543457,0.0902571827173233,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,6,0.4062696099281311,3.9,4.3062696099281315,0.9866956372156866,0.013304362784313364,51.75189207343791,74.66219805096972,4.708706855773926,0.14714708924293518,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,7,-0.5351917147636414,3.9,3.3648082852363586,0.9665864193328649,0.03341358066713503,20.395938174885394,29.425118859185055,2.856457233428955,0.08926428854465485,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,2,0,-2.023737907409668,3.9,1.876262092590332,0.8671811924436995,0.13281880755630046,4.86394033446778,7.017182599716473,1.6733214855194092,0.05229129642248154,1024,blocks.2.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,2,1,0.6374212503433228,3.9,4.537421250343323,0.9894123321584807,0.010587667841519313,65.12022054702976,93.94861924479542,3.223489284515381,0.10073404014110565,1024,blocks.2.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,2,2,10.606849670410156,3.9,14.506849670410157,0.9999994990953991,5.0090460092185e-07,1383790.4576719352,1996387.63091277,3.488506555557251,0.10901582986116409,1024,blocks.2.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,2,3,-1.2359882593154907,3.9,2.664011740684509,0.9348693625630371,0.0651306374369629,10.291950086583519,14.848145350990782,1.4689124822616577,0.045903515070676804,1024,blocks.2.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,2,4,0.03623855859041214,3.9,3.936238558590412,0.9808522863834923,0.019147713616507658,35.85230694099,51.723945428195236,1.767582893371582,0.05523696541786194,1024,blocks.2.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,2,5,-0.8597762584686279,3.9,3.040223741531372,0.9543585760036215,0.04564142399637852,14.837528153953556,21.40602828675917,1.488080620765686,0.04650251939892769,1024,blocks.2.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,2,6,-1.6906297206878662,3.9,2.2093702793121337,0.9010878148949608,0.09891218510503924,6.655114047911715,9.601300033472706,1.347429633140564,0.042107176035642624,1024,blocks.2.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,2,7,1.053802728652954,3.9,4.9538027286529545,0.9929929218161724,0.007007078183827651,98.57402017464901,142.21225006645474,3.3024699687957764,0.10320217907428741,1024,blocks.2.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,6,0,0.2757236957550049,3.9,4.175723695755005,0.9848684140076356,0.015131585992364445,45.460511955663016,65.58565515470848,3.049623727798462,0.09530074149370193,1024,blocks.6.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,6,1,-0.5706039071083069,3.9,3.329396092891693,0.9654236164418896,0.03457638355811047,19.69823249611186,28.418542336418408,2.956043004989624,0.09237633645534515,1024,blocks.6.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,6,2,-0.5520709753036499,3.9,3.34792902469635,0.966036953597604,0.03396304640239606,20.060294152136148,28.940886892060696,2.313072443008423,0.07228351384401321,1024,blocks.6.attn.mem.w_gamma
